場站編號,站名,金額（土木施工費用）
500106121,泉州寧波西街口," 7,944 "
500108165,東湖四號公園," 6,855 "
500109086,中和綠地," 6,855 "
500111087,中興公園," 6,855 "
500101228,仁愛大安路口(東北側)," 6,855 "
500104118,福安河濱公園," 6,852 "
500108168,捷運西湖站(1號出口)內湖路側," 6,852 "
500109087,大業路65巷口," 60,884 "
500107140,捷運中山站(3號出口)," 7,940 "
500109088,公?承德路口," 6,852 "
500105083,光輝路134巷口," 6,852 "
500105084,光輝公園," 6,852 "
500101226,通安區民活動中心," 6,861 "
500101227,復興忠孝東路口(東南側)," 67,379 "
500112099,廣慈博愛園區(西側)," 104,320 "
500103064,大同行政中心," 6,861 "
500110081,延壽街119巷口," 6,861 "
500112098,永吉路468巷口," 6,861 "
500101229,臺灣師範大學(浦城街)," 46,595 "
500105079,樟樹公園," 6,861 "
500105085,木新公園," 6,861 "
500105086,興隆路二段275巷1弄口," 6,861 "
500108166,加瑪科技中心," 6,861 "
500108167,福壽公園," 6,861 "
500104119,忠誠忠義街口(北側)," 5,759 "
500104120,忠誠忠義街口(南側)," 5,759 "
500110083,民福簡易綠地," 5,759 "
500107142,朱崙公園," 5,759 "
500110082,市民東寧路口," 5,759 "
500113074,和平西路二段190巷口," 5,759 "
500112100,和平東路三段341巷口," 5,759 "
500112101,革新公園," 4,672 "
500112102,黎雙公園," 4,672 "
500112103,臺北文化體育園區辦公大樓," 7,931 "
500112104,捷運國父紀念館站(5號出口)," 6,845 "
500112105,光復南菸廠路口," 6,845 "
500107141,建國北路高架橋下停車場G區," 51,111 "
500108169,威剛科技總部," 7,961 "
500105087,中國科技大學," 7,961 "
500108170,太陽科技廣場," 6,869 "
500103065,大龍市場," 6,861 "
500110084,三民國小(撫遠街)," 6,861 "
